id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Texas Concrete;2020-09-15T04:12:18;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-09-14T16:05:00;75071;1
2;Rhode Island bypassing SQL;2020-09-14T19:00:22;Frozen online streamline;ISSUED;CREDIT_CARD;2020-09-15T10:47:28;68011;2
3;lime program;2020-09-14T14:15:25;parse Horizontal Shirt;ISSUED;PAYPAL;2020-09-14T15:05:58;82892;3
4;Buckinghamshire Director Gloves;2020-09-14T18:46:08;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-09-14T11:21:09;33894;4
5;attitude-oriented;2020-09-14T21:14:16;Integration structure;CANCELLED;PAYPAL;2020-09-14T23:21:46;72584;5
6;Internal Licensed Steel Towels RSS;2020-09-15T03:50:26;Chips;PAID;CREDIT_CARD;2020-09-15T04:46:06;90614;6
7;Toys Cotton;2020-09-14T20:19:47;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-09-14T18:03:11;42722;7
8;Arizona Barbados Dollar;2020-09-15T04:49:29;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-09-15T01:52:57;44406;8
9;Generic Ethiopian Birr Assurance;2020-09-14T17:18:20;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-09-15T01:13:50;93110;9
10;Concrete;2020-09-15T10:02:06;paradigms system;PAID;CREDIT_CARD;2020-09-14T12:28:18;93817;10
